seed_list,match_confidence,matched_row_id,property_id,property_name,city,state,zip_code,address,url,is_open,research_status,existing_unit_types,existing_site_names,match_type,match_reason,ood_deal_count,ood_locations,ood_deal_titles,audit_date
yes,medium,9574,4419eb3e-2657-4c18-a94c-5bd5aa3286e4,Borealis Basecamp,Fairbanks,AK,99712,2640 Himalaya Rd,https://borealisbasecamp.net/,Yes,published,Tiny Home; Dome,Cube; Igloos; Fiberglass Igloo,city_state_zip,City + state + zip,1,"757 Forest Hollow Dr, Fairbanks, AK 99712, USA",Paige Besinger - United States,2026-07-13
yes,medium,9612,016308a4-a3a4-404f-8e3c-2e9500961cb3,Heritage Ranch MT,Bozeman,MT,59718,3188 Love Ln,http://heritageranchmt.com/,Yes,published,Safari Tent,Glamping Tent,city_state_zip,City + state + zip,1,"9105 Thorpe Rd, Bozeman, MT 59718, United States","Gary Kirt - United States, Bozeman, Montana",2026-07-13
yes,medium,10103,68a4462d-38fb-4c84-865b-2a8a4e6cf6ae,Inn Town Campground,Nevada City,CA,95959,9 Kidder Ct,https://inntowncampground.com/,Yes,published,Safari Tent; Yurt,G-ST G-ST Sweetwater Tent; G-20 G-20; A Yurt Yurt A,city_state_zip,City + state + zip,1,"202 Prospect St, Nevada City, CA 95959, USA","Michael Gungor - CA, USA",2026-07-13
yes,medium,9792,342085ae-9f64-4b56-9edb-b1b52d780ffa,Dupont Yurts,Hendersonville,NC,28739,3945 Staton Rd,https://www.dupontyurts.com/,Yes,published,Yurt,Buckhorn; Bridal Veil; Cascade; Ridgeline,city_state_zip,City + state + zip,1,"201 Sam King Rd, Hendersonville, NC 28739, USA","Caroline Lewis - United States, Hendersonville, North Carolina",2026-07-13
yes,low,13010,54752c1b-e4ae-4f5e-9f4c-65234d4b95cd,Collective Retreats Governors Island,New York,NY,,Governors Island,https://www.collectiveretreats.com/retreat/collective-governors-island/,Yes,published,Cabin; Safari Tent,Basecamp Cabin; Journey Tent; Voyager Tent,city_state,City + state,3,"500 Fifth Avenue, 5th Avenue, New York, NY 10110, USA | New York, NY, USA | New York, NY, USA","Ryan Freedman - United States, Bridgehampton, New York | Jason Brown - NY | Marina Leung, USA",2026-07-13
yes,low,9795,bf108d78-9b83-4235-9ad7-d7e99dc68caa,Hidden Flower Tiny Farm,Asheville,NC,28804,Weaverville,https://www.hiddenflowertinyfarm.com,Yes,published,Yurt; Tiny Home,Yurt; Tiny Home Green Home; Tiny Red Home; Tiny Blue Home,city_state,City + state,2,"Asheville, NC, USA | 132 Stewart Gap Rd, Asheville, NC 28804, USA","Stan Benecki - United States, Ashville, North Carolina | Austin Moss - United States, Asheville, North Carolina",2026-07-13
no,medium,12837,244ed3dc-dc3f-42d2-a369-cdbbae98c108,West Palm Beach / Lion Country Safari KOA Journey,Loxahatchee,FL,33470,"2000 Lion Country Safari Rd, Loxahatchee, FL 33470, United States",https://koa.com/campgrounds/west-palm-beach/,Yes,published,Mixed,West Palm Beach / Lion Country Safari KOA Journey,city_state_zip,City + state + zip,1,"14563 North Road, Loxahatchee Groves, Loxahatchee, FL 33470, USA","William Howard - United States, Palm Beach, Florida",2026-07-13
no,medium,10946,c19c8b39-de56-41ff-80b0-928685c2c138,Lagom Retreat,Dripping Springs,TX,78620,2501 Old Red Ranch Rd,https://lagom-retreat.com/,Yes,published,,Cabin,city_state_zip,City + state + zip,1,"500 Vista West Ranch Rd, Dripping Springs, TX 78620, USA",Chereen Fisher deal,2026-07-13
no,medium,11609,a3b388c3-8b06-4421-a51c-ad19f2f62fb2,Payson Campground & RV Resort,Payson,AZ,85541,808 E State Highway 260,https://www.paysoncampground.com/,Yes,published,,,city_state_zip,City + state + zip,1,"201 N McLane Rd, Payson, AZ 85541, USA","Elios Lino, Arizona, USA",2026-07-13
no,medium,9772,2e4d1813-cbfd-4f79-a257-a1af6ca5a0db,The Castle House Estate,Joshua Tree,CA,92252,64278 E Broadway,https://www.thecastlehouseestate.com,Yes,published,Yurt; Tiny Home,Yurt; Castle House,city_state_zip,City + state + zip,1,"5063 Nucham Ave, Joshua Tree, CA 92252, USA","Chad Krenzke, California, USA",2026-07-13
